,Unnamed: 0,start_time,bat_landing_to_food,habit,rat_period_start,rat_period_end,seconds_after_rat_arrival,risk,reward,month,sunset_time,hours_after_sunset,season,period_time,month_df2,hours_after_sunset_df2,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,rat_pressure_q,log_bltf,period_id
0,0,2017-12-30 18:37:00,16.0,rat,2017-12-30 18:35:00,2017-12-30 18:38:00,108,1,0,0,2017-12-30 16:45:00,1.870833333,0,2017-12-30 18:30:00,0,2.0,20,3.955857385,0.0,0,Q1,2.833213344056216,1514658600
1,1,2017-12-30 19:51:00,0.074015603,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,17,0,1,0,2017-12-30 16:45:00,3.100833333,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,0.07140452391410444,1514662200
2,2,2017-12-30 19:51:00,4.0,fast,2017-12-30 19:50:00,2017-12-30 19:55:00,41,0,1,0,2017-12-30 16:45:00,3.1075,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,1.6094379124341003,1514662200
3,3,2017-12-30 19:52:00,10.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,111,1,0,0,2017-12-30 16:45:00,3.126944444,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,2.3978952727983707,1514662200
4,4,2017-12-30 19:54:00,15.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,194,1,0,0,2017-12-30 16:45:00,3.15,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,2.772588722239781,1514662200
5,5,2017-12-30 19:54:00,24.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,215,1,0,0,2017-12-30 16:45:00,3.155833333,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,3.2188758248682006,1514662200
6,6,2017-12-30 19:54:00,13.0,rat,2017-12-30 19:50:00,2017-12-30 19:55:00,253,1,0,0,2017-12-30 16:45:00,3.166388889,0,2017-12-30 19:30:00,0,3.0,37,3.067911715,5.0,1,Q3,2.6390573296152584,1514662200
7,7,2017-12-26 21:24:00,15.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,88,1,0,0,2017-12-26 16:43:00,4.684444444,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,2.772588722239781,1514322000
8,8,2017-12-26 21:24:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,113,0,1,0,2017-12-26 16:43:00,4.691388889,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,1.9459101490553132,1514322000
9,9,2017-12-26 21:24:00,3.0,fast,2017-12-26 21:22:00,2017-12-26 21:27:00,121,0,1,0,2017-12-26 16:43:00,4.693611111,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,1.3862943611198906,1514322000
10,10,2017-12-26 21:24:00,5.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,128,0,1,0,2017-12-26 16:43:00,4.695555556,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,1.791759469228055,1514322000
11,11,2017-12-26 21:25:00,6.0,pick,2017-12-26 21:22:00,2017-12-26 21:27:00,153,0,1,0,2017-12-26 16:43:00,4.7025,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,1.9459101490553132,1514322000
12,12,2017-12-26 21:26:00,10.0,rat,2017-12-26 21:22:00,2017-12-26 21:27:00,208,1,0,0,2017-12-26 16:43:00,4.717777778,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,2.3978952727983707,1514322000
13,13,2017-12-26 21:26:00,1.0,bat_fight,2017-12-26 21:22:00,2017-12-26 21:27:00,216,1,0,0,2017-12-26 16:43:00,4.72,0,2017-12-26 21:00:00,0,4.5,53,2.561403509,4.866666667,1,Q2,0.6931471805599453,1514322000
14,14,2017-12-27 01:35:00,2.0,Other,2017-12-27 01:34:00,2017-12-27 01:41:00,37,1,0,0,2017-12-26 16:43:00,8.8725,0,2017-12-27 01:30:00,0,9.0,13,0.0,0.016666667,1,Q1,1.0986122886681098,1514338200
15,15,2017-12-26 20:57:00,5.0,Unknown,2017-12-26 20:53:00,2017-12-26 20:58:00,199,0,0,0,2017-12-26 16:43:00,4.2375,0,2017-12-26 20:30:00,0,4.0,51,2.968873797,1.283333333,2,Q2,1.791759469228055,1514320200
16,16,2017-12-26 20:57:00,1.0,Unknown,2017-12-26 20:53:00,2017-12-26 20:58:00,239,0,0,0,2017-12-26 16:43:00,4.248611111,0,2017-12-26 20:30:00,0,4.0,51,2.968873797,1.283333333,2,Q2,0.6931471805599453,1514320200
17,17,2017-12-28 19:36:00,1.0,fast,2017-12-28 19:35:00,2017-12-28 19:46:00,14,0,1,0,2017-12-28 16:44:00,2.868888889,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,0.6931471805599453,1514489400
18,18,2017-12-28 19:36:00,2.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,40,1,0,0,2017-12-28 16:44:00,2.876111111,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,1.0986122886681098,1514489400
19,19,2017-12-28 19:37:00,26.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,68,1,0,0,2017-12-28 16:44:00,2.883888889,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,3.295836866004329,1514489400
20,20,2017-12-28 19:44:00,5.0,Other,2017-12-28 19:35:00,2017-12-28 19:46:00,521,1,0,0,2017-12-28 16:44:00,3.009722222,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,1.791759469228055,1514489400
21,21,2017-12-28 19:45:00,15.0,Other,2017-12-28 19:35:00,2017-12-28 19:46:00,564,1,1,0,2017-12-28 16:44:00,3.021666667,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,2.772588722239781,1514489400
22,22,2017-12-28 19:46:00,24.0,rat,2017-12-28 19:35:00,2017-12-28 19:46:00,607,1,0,0,2017-12-28 16:44:00,3.033611111,0,2017-12-28 19:30:00,0,3.0,23,3.07696661,2.5,1,Q2,3.2188758248682006,1514489400
23,23,2017-12-28 03:58:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,107,0,1,0,2017-12-27 16:43:00,11.26277778,0,2017-12-28 03:30:00,0,11.0,5,0.971774194,11.089999999999986,1,Q4,1.0986122886681098,1514431800
24,24,2017-12-28 04:02:00,2.0,fast,2017-12-28 03:56:00,2017-12-28 04:13:00,358,0,1,0,2017-12-27 16:43:00,11.3325,0,2017-12-28 04:00:00,0,11.5,11,0.730769231,0.883333333,1,Q2,1.0986122886681098,1514433600
25,25,2017-12-28 04:11:00,1.0,Unknown,2017-12-28 03:56:00,2017-12-28 04:13:00,852,0,0,0,2017-12-27 16:43:00,11.46972222,0,2017-12-28 04:00:00,0,11.5,11,0.730769231,0.883333333,1,Q2,0.6931471805599453,1514433600
26,26,2018-01-27 23:44:00,0.049410419,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,12,0,1,1,2018-01-27 17:09:00,6.591111111,0,2018-01-27 23:30:00,1,6.5,64,2.55,6.083333333,1,Q3,0.048228500751775705,1517095800
27,27,2018-01-27 23:44:00,1.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,14,0,1,1,2018-01-27 17:09:00,6.591666667,0,2018-01-27 23:30:00,1,6.5,64,2.55,6.083333333,1,Q3,0.6931471805599453,1517095800
28,28,2018-01-27 23:45:00,6.0,rat,2018-01-27 23:44:00,2018-01-27 23:50:00,49,1,0,1,2018-01-27 17:09:00,6.601388889,0,2018-01-27 23:30:00,1,6.5,64,2.55,6.083333333,1,Q3,1.9459101490553132,1517095800
29,29,2018-01-27 23:45:00,3.0,fast,2018-01-27 23:44:00,2018-01-27 23:50:00,68,0,1,1,2018-01-27 17:09:00,6.606666667,0,2018-01-27 23:30:00,1,6.5,64,2.55,6.083333333,1,Q3,1.3862943611198906,1517095800
