,coef,pvalue
const,1.303490479264889,1.300033814217916e-23
season,0.4706104469896997,0.00045861023902729994
bat_landing_number,-0.14590743801115888,0.16479314840735115
food_scarcity_x_season,-0.05731019910746165,0.18187115215840557
food_availability_x_season,0.057310199107461185,0.18187115215840863
rat_minutes,-0.11524453572088642,0.31647484227377326
rat_minutes_x_season,0.11555307315284082,0.3521198486241883
rat_arrival_number,0.04433837187594131,0.4528808164961259
bat_landing_number_x_season,0.0823926963556734,0.4705333545595707
food_availability,-0.006178028429761019,0.8627652118822935
food_scarcity,0.006178028429759739,0.8627652118823211
rat_arrival_number_x_season,-0.010379314009999818,0.9057335790017036
